timestamp,sample_id,uptime_ms,scenario_id,cpu_utilization,cpu_idle,task_cpu_utilization,total_heap,free_heap,used_heap,heap_utilization,minimum_free_heap,stack_high_water_mark,stack_utilization,task_name,task_priority,task_state,task_execution_time,task_period,task_jitter,task_execution_count,deadline_misses,context_switches,task_switches,scheduler_delay,active_task_count,inference_time,min_inference_time,max_inference_time,average_inference_time,inference_count,inference_frequency,queue_length,queue_capacity,queue_utilization,messages_sent,messages_received,dropped_messages,interrupt_count,interrupt_latency,power_consumption,system_temperature,watchdog_resets,system_resets,heap_churn_bytes,heap_alloc_failures,distance_cm,ultrasonic_timeouts,logged_at
10.0,11,15000.0,1,29.63,70.37,13.33,1048576,825898,222678,21.24,759826,2916,39.34,ai_inference_task,3,RUNNING,18.5,50.0,1.89,220,0,550,440,3.2,6,34.65,32.65,38.62,34.65,55,10.0,5,100,5.0,165,165,0,1320,0.533,1461.5,42.3,0,0,,,,,2026-09-19T23:21:36
11.0,12,16000.0,1,30.78,69.22,13.85,1048576,800256,248320,23.68,736235,3166,31.03,ai_inference_task,3,RUNNING,18.5,50.0,0.69,240,0,600,480,2.19,6,34.43,32.29,39.71,34.43,60,10.0,12,100,12.0,180,180,0,1440,0.42,1453.0,46.4,0,0,,,,,2026-09-19T23:21:36
12.0,13,17000.0,1,26.23,73.77,11.8,1048576,846508,202068,19.27,778787,3002,36.47,ai_inference_task,3,RUNNING,18.5,50.0,1.47,260,0,650,520,2.1,6,35.65,33.25,39.59,35.65,65,10.0,14,100,14.0,195,195,0,1560,0.407,1424.2,43.1,0,0,,,,,2026-09-19T23:21:36
13.0,14,18000.0,1,25.38,74.62,11.42,1048576,822820,225756,21.53,756994,3114,32.76,ai_inference_task,3,RUNNING,18.5,50.0,1.86,280,0,700,560,3.15,6,33.1,30.96,37.99,33.1,70,10.0,7,100,7.0,210,210,0,1680,0.228,1447.6,45.3,0,0,,,,,2026-09-19T23:21:37
14.0,15,19000.0,1,24.14,75.86,10.86,1048576,851508,197068,18.79,783387,2860,41.23,ai_inference_task,3,RUNNING,18.5,50.0,0.79,300,0,750,600,1.24,6,34.86,31.91,40.21,34.86,75,10.0,13,100,13.0,225,225,0,1800,0.372,1484.7,44.3,0,0,,,,,2026-09-19T23:21:37
15.0,16,20000.0,1,29.29,70.71,13.18,1048576,817468,231108,22.04,752070,2842,41.81,ai_inference_task,3,RUNNING,18.5,50.0,0.87,320,0,800,640,1.48,6,32.49,29.68,36.51,32.49,80,10.0,13,100,13.0,240,240,0,1920,0.379,1484.4,43.4,0,0,,,,,2026-09-19T23:21:37
16.0,17,21000.0,1,24.5,75.5,11.03,1048576,801746,246830,23.54,737606,3037,35.32,ai_inference_task,3,RUNNING,18.5,50.0,1.75,340,0,850,680,3.42,6,36.31,33.21,39.46,36.31,85,10.0,14,100,14.0,255,255,0,2040,0.571,1569.7,42.8,0,0,,,,,2026-09-19T23:21:38
17.0,18,22000.0,1,26.86,73.14,12.09,1048576,846385,202191,19.28,778674,3052,34.81,ai_inference_task,3,RUNNING,18.5,50.0,1.68,360,0,900,720,2.14,6,32.29,29.53,38.25,32.29,90,10.0,7,100,7.0,270,270,0,2160,0.369,1591.5,47.0,0,0,,,,,2026-09-19T23:21:38
18.0,19,23000.0,1,27.56,72.44,12.4,1048576,814634,233942,22.31,749463,3141,31.86,ai_inference_task,3,RUNNING,18.5,50.0,1.62,380,0,950,760,1.14,6,33.48,29.54,38.22,33.48,95,10.0,10,100,10.0,285,285,0,2280,0.434,1500.6,46.3,0,0,,,,,2026-09-19T23:21:38
19.0,20,24000.0,1,23.57,76.43,10.61,1048576,799386,249190,23.76,735435,3168,30.96,ai_inference_task,3,RUNNING,18.5,50.0,0.68,400,0,1000,800,3.23,6,32.93,29.74,37.96,32.93,100,10.0,7,100,7.0,300,300,0,2400,0.298,1518.9,45.1,0,0,,,,,2026-09-19T23:21:39
20.0,1,5000.0,1,39.15,60.85,27.4,1048576,823111,225465,21.5,757262,3008,36.27,ai_inference_task,3,RUNNING,18.5,50.0,1.09,20,0,50,40,3.0,6,36.67,34.26,41.82,36.67,5,10.0,7,100,7.0,15,15,0,120,0.32,1500.0,45.0,0,0,,,,,2026-09-19T23:21:39
21.0,2,6000.0,1,43.35,56.65,30.35,1048576,797015,251561,23.99,733253,2838,41.95,ai_inference_task,3,RUNNING,18.5,50.0,1.82,40,0,100,80,3.84,6,32.37,29.94,36.17,32.37,10,10.0,14,100,14.0,30,30,0,240,0.348,1573.7,46.5,0,0,,,,,2026-09-19T23:21:39
22.0,3,7000.0,1,45.44,54.56,31.81,1048576,797721,250855,23.92,733903,2961,37.85,ai_inference_task,3,RUNNING,18.5,50.0,1.91,60,0,150,120,4.68,6,32.04,28.41,35.94,32.04,15,10.0,11,100,11.0,45,45,0,360,0.246,1647.4,47.9,0,0,,,,,2026-09-19T23:21:39
23.0,4,8000.0,1,49.38,50.62,34.57,1048576,814685,233891,22.31,749510,3123,32.44,ai_inference_task,3,RUNNING,18.5,50.0,1.77,80,0,200,160,5.53,6,35.17,32.64,39.64,35.17,20,10.0,14,100,14.0,60,60,0,480,0.369,1721.1,49.4,0,0,,,,,2026-09-19T23:21:40
24.0,5,9000.0,1,51.09,48.91,35.76,1048576,843352,205224,19.57,775883,2930,38.89,ai_inference_task,3,RUNNING,18.5,50.0,1.82,100,0,250,200,6.37,6,34.76,31.9,37.79,34.76,25,10.0,5,100,5.0,75,75,0,600,0.418,1794.7,50.9,0,0,,,,,2026-09-19T23:21:40
25.0,6,10000.0,1,54.98,45.02,38.48,1048576,840439,208137,19.85,773203,2873,40.79,ai_inference_task,3,RUNNING,18.5,50.0,0.87,120,0,300,240,7.21,6,35.98,32.26,41.68,35.98,30,10.0,7,100,7.0,90,90,0,720,0.512,1868.4,52.4,0,0,,,,,2026-09-19T23:21:40
26.0,7,11000.0,1,58.31,41.69,40.81,1048576,801330,247246,23.58,737223,2885,40.38,ai_inference_task,3,RUNNING,18.5,50.0,1.6,140,0,350,280,8.05,6,36.88,33.26,42.52,36.88,35,10.0,5,100,5.0,105,105,0,840,0.572,1942.1,53.8,0,0,,,,,2026-09-19T23:21:41
27.0,8,12000.0,1,60.02,39.98,42.01,1048576,810295,238281,22.72,745471,3157,31.3,ai_inference_task,3,RUNNING,18.5,50.0,1.19,160,0,400,320,8.89,6,36.36,32.64,40.03,36.36,40,10.0,13,100,13.0,120,120,0,960,0.518,2015.8,55.3,0,0,,,,,2026-09-19T23:21:41
28.0,9,13000.0,1,64.5,35.5,45.15,1048576,805452,243124,23.19,741015,2848,41.6,ai_inference_task,3,RUNNING,18.5,50.0,1.3,180,0,450,360,9.74,6,33.4,30.12,37.6,33.4,45,10.0,14,100,14.0,135,135,0,1080,0.246,2089.5,56.8,0,0,,,,,2026-09-19T23:21:41
29.0,10,14000.0,1,67.38,32.62,47.16,1048576,853013,195563,18.65,784771,3040,35.21,ai_inference_task,3,RUNNING,18.5,50.0,1.08,200,0,500,400,10.58,6,35.64,33.01,40.46,35.64,50,10.0,10,100,10.0,150,150,0,1200,0.302,2163.2,58.3,0,0,,,,,2026-09-19T23:21:42
30.0,11,15000.0,1,69.09,30.91,48.36,1048576,814570,234006,22.32,749404,2929,38.9,ai_inference_task,3,RUNNING,18.5,50.0,1.0,220,0,550,440,11.42,6,35.35,32.62,38.56,35.35,55,10.0,11,100,11.0,165,165,0,1320,0.539,2236.8,59.7,0,0,,,,,2026-09-19T23:21:42
31.0,12,16000.0,1,71.99,28.01,50.4,1048576,834516,214060,20.41,767754,3090,33.55,ai_inference_task,3,RUNNING,18.5,50.0,1.85,240,0,600,480,12.26,6,32.64,29.8,38.46,32.64,60,10.0,11,100,11.0,180,180,0,1440,0.32,2310.5,61.2,0,0,,,,,2026-09-19T23:21:42
32.0,13,17000.0,1,75.63,24.37,52.94,1048576,823343,225233,21.48,757475,2961,37.86,ai_inference_task,3,RUNNING,18.5,50.0,1.85,260,0,650,520,13.11,6,34.32,31.44,37.96,34.32,65,10.0,9,100,9.0,195,195,0,1560,0.268,2384.2,62.7,0,0,,,,,2026-09-19T23:21:43
33.0,14,18000.0,1,78.58,21.42,55.0,1048576,808342,240234,22.91,743674,2926,39.01,ai_inference_task,3,RUNNING,18.5,50.0,0.87,280,0,700,560,13.95,6,35.36,32.91,38.96,35.36,70,10.0,5,100,5.0,210,210,0,1680,0.54,2457.9,64.2,0,0,,,,,2026-09-19T23:21:43
34.0,15,19000.0,1,81.3,18.7,56.91,1048576,816022,232554,22.18,750740,3019,35.93,ai_inference_task,3,RUNNING,18.5,50.0,1.66,300,0,750,600,14.79,6,33.22,29.91,36.24,33.22,75,10.0,12,100,12.0,225,225,0,1800,0.37,2531.6,65.6,0,0,,,,,2026-09-19T23:21:43
35.0,16,20000.0,1,84.22,15.78,58.95,1048576,844155,204421,19.5,776622,2891,40.18,ai_inference_task,3,RUNNING,18.5,50.0,1.39,320,0,800,640,15.63,6,34.28,30.68,39.28,34.28,80,10.0,14,100,14.0,240,240,0,1920,0.557,2605.3,67.1,0,0,,,,,2026-09-19T23:21:43
36.0,17,21000.0,1,86.31,13.69,60.42,1048576,825364,223212,21.29,759334,2873,40.77,ai_inference_task,3,RUNNING,18.5,50.0,1.46,340,0,850,680,16.47,6,35.72,32.77,39.5,35.72,85,10.0,7,100,7.0,255,255,0,2040,0.409,2678.9,68.6,0,0,,,,,2026-09-19T23:21:44
37.0,18,22000.0,1,89.52,10.48,62.66,1048576,842738,205838,19.63,775318,3081,33.84,ai_inference_task,3,RUNNING,18.5,50.0,1.56,360,0,900,720,17.32,6,34.7,32.42,38.39,34.7,90,10.0,11,100,11.0,270,270,0,2160,0.363,2752.6,70.1,0,0,,,,,2026-09-19T23:21:44
38.0,19,23000.0,1,92.89,7.11,65.02,1048576,802905,245671,23.43,738672,2986,37.01,ai_inference_task,3,RUNNING,18.5,50.0,0.51,380,0,950,760,18.16,6,35.48,31.77,40.78,35.48,95,10.0,8,100,8.0,285,285,0,2280,0.501,2826.3,71.5,0,0,,,,,2026-09-19T23:21:44
39.0,20,24000.0,1,95.26,4.74,66.68,1048576,825473,223103,21.28,759435,2979,37.24,ai_inference_task,3,RUNNING,18.5,50.0,1.0,400,0,1000,800,19.0,6,33.1,30.66,37.41,33.1,100,10.0,5,100,5.0,300,300,0,2400,0.362,2900.0,73.0,0,0,,,,,2026-09-19T23:21:45
0.0,1,5000.0,1,28.39,71.61,12.78,1048576,858259,190317,18.15,789598,3098,33.3,ai_inference_task,3,RUNNING,18.5,50.0,0.63,20,0,50,40,2.05,6,33.12,29.65,38.15,33.12,5,10.0,13,100,13.0,15,15,0,120,0.212,1443.7,44.5,0,0,,,,,2026-09-19T23:22:35
1.0,2,6000.0,1,22.27,77.73,10.02,1048576,847323,201253,19.19,779537,2962,37.8,ai_inference_task,3,RUNNING,18.5,50.0,0.51,40,0,100,80,3.01,6,34.72,32.28,39.49,34.72,10,10.0,13,100,13.0,30,30,0,240,0.479,1468.1,42.8,0,0,,,,,2026-09-19T23:22:36
2.0,3,7000.0,1,31.57,68.43,14.21,1048576,838656,209920,20.02,771563,3163,31.11,ai_inference_task,3,RUNNING,18.5,50.0,1.59,60,0,150,120,2.34,6,32.48,28.79,37.29,32.48,15,10.0,13,100,13.0,45,45,0,360,0.589,1475.7,44.8,0,0,,,,,2026-09-19T23:22:36
3.0,4,8000.0,1,30.29,69.71,13.63,1048576,820919,227657,21.71,755245,2886,40.34,ai_inference_task,3,RUNNING,18.5,50.0,0.93,80,0,200,160,1.2,6,34.89,31.48,38.03,34.89,20,10.0,7,100,7.0,60,60,0,480,0.293,1420.2,43.4,0,0,,,,,2026-09-19T23:22:36
4.0,5,9000.0,1,28.36,71.64,12.76,1048576,836880,211696,20.19,769929,3063,34.44,ai_inference_task,3,RUNNING,18.5,50.0,1.41,100,0,250,200,1.43,6,33.05,30.52,38.86,33.05,25,10.0,11,100,11.0,75,75,0,600,0.492,1432.7,43.9,0,0,,,,,2026-09-19T23:22:37
5.0,6,10000.0,1,31.9,68.1,14.36,1048576,819568,229008,21.84,754002,2996,36.68,ai_inference_task,3,RUNNING,18.5,50.0,0.55,120,0,300,240,1.79,6,35.42,31.73,40.75,35.42,30,10.0,7,100,7.0,90,90,0,720,0.307,1442.2,46.7,0,0,,,,,2026-09-19T23:22:37
6.0,7,11000.0,1,30.76,69.24,13.84,1048576,840035,208541,19.89,772832,2960,37.87,ai_inference_task,3,RUNNING,18.5,50.0,0.87,140,0,350,280,2.4,6,33.98,30.15,38.36,33.98,35,10.0,7,100,7.0,105,105,0,840,0.305,1516.9,46.5,0,0,,,,,2026-09-19T23:22:37
7.0,8,12000.0,1,25.99,74.01,11.7,1048576,846034,202542,19.32,778351,2837,41.97,ai_inference_task,3,RUNNING,18.5,50.0,1.44,160,0,400,320,2.98,6,34.55,32.37,37.69,34.55,40,10.0,6,100,6.0,120,120,0,960,0.369,1412.7,43.9,0,0,,,,,2026-09-19T23:22:38
8.0,9,13000.0,1,31.96,68.04,14.38,1048576,826544,222032,21.17,760420,2847,41.65,ai_inference_task,3,RUNNING,18.5,50.0,1.31,180,0,450,360,1.67,6,36.3,34.28,41.46,36.3,45,10.0,11,100,11.0,135,135,0,1080,0.456,1422.3,44.2,0,0,,,,,2026-09-19T23:22:38
9.0,10,14000.0,1,26.54,73.46,11.94,1048576,799824,248752,23.72,735838,2881,40.51,ai_inference_task,3,RUNNING,18.5,50.0,1.81,200,0,500,400,1.75,6,33.32,30.32,36.86,33.32,50,10.0,14,100,14.0,150,150,0,1200,0.456,1521.8,42.8,0,0,,,,,2026-09-19T23:22:38
10.0,11,15000.0,1,29.63,70.37,13.33,1048576,825898,222678,21.24,759826,2916,39.34,ai_inference_task,3,RUNNING,18.5,50.0,1.89,220,0,550,440,3.2,6,34.65,32.65,38.62,34.65,55,10.0,5,100,5.0,165,165,0,1320,0.533,1461.5,42.3,0,0,,,,,2026-09-19T23:22:38
11.0,12,16000.0,1,30.78,69.22,13.85,1048576,800256,248320,23.68,736235,3166,31.03,ai_inference_task,3,RUNNING,18.5,50.0,0.69,240,0,600,480,2.19,6,34.43,32.29,39.71,34.43,60,10.0,12,100,12.0,180,180,0,1440,0.42,1453.0,46.4,0,0,,,,,2026-09-19T23:22:39
12.0,13,17000.0,1,26.23,73.77,11.8,1048576,846508,202068,19.27,778787,3002,36.47,ai_inference_task,3,RUNNING,18.5,50.0,1.47,260,0,650,520,2.1,6,35.65,33.25,39.59,35.65,65,10.0,14,100,14.0,195,195,0,1560,0.407,1424.2,43.1,0,0,,,,,2026-09-19T23:22:39
13.0,14,18000.0,1,25.38,74.62,11.42,1048576,822820,225756,21.53,756994,3114,32.76,ai_inference_task,3,RUNNING,18.5,50.0,1.86,280,0,700,560,3.15,6,33.1,30.96,37.99,33.1,70,10.0,7,100,7.0,210,210,0,1680,0.228,1447.6,45.3,0,0,,,,,2026-09-19T23:22:39
14.0,15,19000.0,1,24.14,75.86,10.86,1048576,851508,197068,18.79,783387,2860,41.23,ai_inference_task,3,RUNNING,18.5,50.0,0.79,300,0,750,600,1.24,6,34.86,31.91,40.21,34.86,75,10.0,13,100,13.0,225,225,0,1800,0.372,1484.7,44.3,0,0,,,,,2026-09-19T23:22:40
15.0,16,20000.0,1,29.29,70.71,13.18,1048576,817468,231108,22.04,752070,2842,41.81,ai_inference_task,3,RUNNING,18.5,50.0,0.87,320,0,800,640,1.48,6,32.49,29.68,36.51,32.49,80,10.0,13,100,13.0,240,240,0,1920,0.379,1484.4,43.4,0,0,,,,,2026-09-19T23:22:40
16.0,17,21000.0,1,24.5,75.5,11.03,1048576,801746,246830,23.54,737606,3037,35.32,ai_inference_task,3,RUNNING,18.5,50.0,1.75,340,0,850,680,3.42,6,36.31,33.21,39.46,36.31,85,10.0,14,100,14.0,255,255,0,2040,0.571,1569.7,42.8,0,0,,,,,2026-09-19T23:22:40
17.0,18,22000.0,1,26.86,73.14,12.09,1048576,846385,202191,19.28,778674,3052,34.81,ai_inference_task,3,RUNNING,18.5,50.0,1.68,360,0,900,720,2.14,6,32.29,29.53,38.25,32.29,90,10.0,7,100,7.0,270,270,0,2160,0.369,1591.5,47.0,0,0,,,,,2026-09-19T23:22:41
18.0,19,23000.0,1,27.56,72.44,12.4,1048576,814634,233942,22.31,749463,3141,31.86,ai_inference_task,3,RUNNING,18.5,50.0,1.62,380,0,950,760,1.14,6,33.48,29.54,38.22,33.48,95,10.0,10,100,10.0,285,285,0,2280,0.434,1500.6,46.3,0,0,,,,,2026-09-19T23:22:41
19.0,20,24000.0,1,23.57,76.43,10.61,1048576,799386,249190,23.76,735435,3168,30.96,ai_inference_task,3,RUNNING,18.5,50.0,0.68,400,0,1000,800,3.23,6,32.93,29.74,37.96,32.93,100,10.0,7,100,7.0,300,300,0,2400,0.298,1518.9,45.1,0,0,,,,,2026-09-19T23:22:41
20.0,1,5000.0,1,39.15,60.85,27.4,1048576,823111,225465,21.5,757262,3008,36.27,ai_inference_task,3,RUNNING,18.5,50.0,1.09,20,0,50,40,3.0,6,36.67,34.26,41.82,36.67,5,10.0,7,100,7.0,15,15,0,120,0.32,1500.0,45.0,0,0,,,,,2026-09-19T23:22:42
21.0,2,6000.0,1,43.35,56.65,30.35,1048576,797015,251561,23.99,733253,2838,41.95,ai_inference_task,3,RUNNING,18.5,50.0,1.82,40,0,100,80,3.84,6,32.37,29.94,36.17,32.37,10,10.0,14,100,14.0,30,30,0,240,0.348,1573.7,46.5,0,0,,,,,2026-09-19T23:22:42
22.0,3,7000.0,1,45.44,54.56,31.81,1048576,797721,250855,23.92,733903,2961,37.85,ai_inference_task,3,RUNNING,18.5,50.0,1.91,60,0,150,120,4.68,6,32.04,28.41,35.94,32.04,15,10.0,11,100,11.0,45,45,0,360,0.246,1647.4,47.9,0,0,,,,,2026-09-19T23:22:42
23.0,4,8000.0,1,49.38,50.62,34.57,1048576,814685,233891,22.31,749510,3123,32.44,ai_inference_task,3,RUNNING,18.5,50.0,1.77,80,0,200,160,5.53,6,35.17,32.64,39.64,35.17,20,10.0,14,100,14.0,60,60,0,480,0.369,1721.1,49.4,0,0,,,,,2026-09-19T23:22:42
24.0,5,9000.0,1,51.09,48.91,35.76,1048576,843352,205224,19.57,775883,2930,38.89,ai_inference_task,3,RUNNING,18.5,50.0,1.82,100,0,250,200,6.37,6,34.76,31.9,37.79,34.76,25,10.0,5,100,5.0,75,75,0,600,0.418,1794.7,50.9,0,0,,,,,2026-09-19T23:22:43
25.0,6,10000.0,1,54.98,45.02,38.48,1048576,840439,208137,19.85,773203,2873,40.79,ai_inference_task,3,RUNNING,18.5,50.0,0.87,120,0,300,240,7.21,6,35.98,32.26,41.68,35.98,30,10.0,7,100,7.0,90,90,0,720,0.512,1868.4,52.4,0,0,,,,,2026-09-19T23:22:43
26.0,7,11000.0,1,58.31,41.69,40.81,1048576,801330,247246,23.58,737223,2885,40.38,ai_inference_task,3,RUNNING,18.5,50.0,1.6,140,0,350,280,8.05,6,36.88,33.26,42.52,36.88,35,10.0,5,100,5.0,105,105,0,840,0.572,1942.1,53.8,0,0,,,,,2026-09-19T23:22:43
27.0,8,12000.0,1,60.02,39.98,42.01,1048576,810295,238281,22.72,745471,3157,31.3,ai_inference_task,3,RUNNING,18.5,50.0,1.19,160,0,400,320,8.89,6,36.36,32.64,40.03,36.36,40,10.0,13,100,13.0,120,120,0,960,0.518,2015.8,55.3,0,0,,,,,2026-09-19T23:22:44
28.0,9,13000.0,1,64.5,35.5,45.15,1048576,805452,243124,23.19,741015,2848,41.6,ai_inference_task,3,RUNNING,18.5,50.0,1.3,180,0,450,360,9.74,6,33.4,30.12,37.6,33.4,45,10.0,14,100,14.0,135,135,0,1080,0.246,2089.5,56.8,0,0,,,,,2026-09-19T23:22:44
29.0,10,14000.0,1,67.38,32.62,47.16,1048576,853013,195563,18.65,784771,3040,35.21,ai_inference_task,3,RUNNING,18.5,50.0,1.08,200,0,500,400,10.58,6,35.64,33.01,40.46,35.64,50,10.0,10,100,10.0,150,150,0,1200,0.302,2163.2,58.3,0,0,,,,,2026-09-19T23:22:44
30.0,11,15000.0,1,69.09,30.91,48.36,1048576,814570,234006,22.32,749404,2929,38.9,ai_inference_task,3,RUNNING,18.5,50.0,1.0,220,0,550,440,11.42,6,35.35,32.62,38.56,35.35,55,10.0,11,100,11.0,165,165,0,1320,0.539,2236.8,59.7,0,0,,,,,2026-09-19T23:22:45
31.0,12,16000.0,1,71.99,28.01,50.4,1048576,834516,214060,20.41,767754,3090,33.55,ai_inference_task,3,RUNNING,18.5,50.0,1.85,240,0,600,480,12.26,6,32.64,29.8,38.46,32.64,60,10.0,11,100,11.0,180,180,0,1440,0.32,2310.5,61.2,0,0,,,,,2026-09-19T23:22:45
32.0,13,17000.0,1,75.63,24.37,52.94,1048576,823343,225233,21.48,757475,2961,37.86,ai_inference_task,3,RUNNING,18.5,50.0,1.85,260,0,650,520,13.11,6,34.32,31.44,37.96,34.32,65,10.0,9,100,9.0,195,195,0,1560,0.268,2384.2,62.7,0,0,,,,,2026-09-19T23:22:45
33.0,14,18000.0,1,78.58,21.42,55.0,1048576,808342,240234,22.91,743674,2926,39.01,ai_inference_task,3,RUNNING,18.5,50.0,0.87,280,0,700,560,13.95,6,35.36,32.91,38.96,35.36,70,10.0,5,100,5.0,210,210,0,1680,0.54,2457.9,64.2,0,0,,,,,2026-09-19T23:22:46
34.0,15,19000.0,1,81.3,18.7,56.91,1048576,816022,232554,22.18,750740,3019,35.93,ai_inference_task,3,RUNNING,18.5,50.0,1.66,300,0,750,600,14.79,6,33.22,29.91,36.24,33.22,75,10.0,12,100,12.0,225,225,0,1800,0.37,2531.6,65.6,0,0,,,,,2026-09-19T23:22:46
35.0,16,20000.0,1,84.22,15.78,58.95,1048576,844155,204421,19.5,776622,2891,40.18,ai_inference_task,3,RUNNING,18.5,50.0,1.39,320,0,800,640,15.63,6,34.28,30.68,39.28,34.28,80,10.0,14,100,14.0,240,240,0,1920,0.557,2605.3,67.1,0,0,,,,,2026-09-19T23:22:46
36.0,17,21000.0,1,86.31,13.69,60.42,1048576,825364,223212,21.29,759334,2873,40.77,ai_inference_task,3,RUNNING,18.5,50.0,1.46,340,0,850,680,16.47,6,35.72,32.77,39.5,35.72,85,10.0,7,100,7.0,255,255,0,2040,0.409,2678.9,68.6,0,0,,,,,2026-09-19T23:22:46
37.0,18,22000.0,1,89.52,10.48,62.66,1048576,842738,205838,19.63,775318,3081,33.84,ai_inference_task,3,RUNNING,18.5,50.0,1.56,360,0,900,720,17.32,6,34.7,32.42,38.39,34.7,90,10.0,11,100,11.0,270,270,0,2160,0.363,2752.6,70.1,0,0,,,,,2026-09-19T23:22:47
38.0,19,23000.0,1,92.89,7.11,65.02,1048576,802905,245671,23.43,738672,2986,37.01,ai_inference_task,3,RUNNING,18.5,50.0,0.51,380,0,950,760,18.16,6,35.48,31.77,40.78,35.48,95,10.0,8,100,8.0,285,285,0,2280,0.501,2826.3,71.5,0,0,,,,,2026-09-19T23:22:47
39.0,20,24000.0,1,95.26,4.74,66.68,1048576,825473,223103,21.28,759435,2979,37.24,ai_inference_task,3,RUNNING,18.5,50.0,1.0,400,0,1000,800,19.0,6,33.1,30.66,37.41,33.1,100,10.0,5,100,5.0,300,300,0,2400,0.362,2900.0,73.0,0,0,,,,,2026-09-19T23:22:47
29533,30,29533,1,45.9,54.1,0.6,384252,8710932,4286640616,1115580.5,8706704,1344,67.2,Monitor_Task,1,RUNNING,7,1000,6,30,0,1000,1466,0,11,9,9,9,9.0,35,35.0,9,10,90.0,300,291,716,33,10416,280.7,563.2,0,1,4096,0,-1.0,129,2026-09-19T23:24:05
